customer_id,first_name,last_name,email,country,city,signup_date
1,David,Guerrero,whitebrian@example.com,Italy,Loweport,2025-03-20
2,Charles,Tanner,williamgreer@example.net,South Africa,Rebeccaton,2026-05-08
3,Tina,Green,wjenkins@example.com,Cyprus,Port Anthonyfurt,2025-04-08
4,Frank,Russo,erica39@example.org,Heard Island and McDonald Islands,Kylemouth,2025-08-04
5,Brandon,Wilson,joemoore@example.org,Faroe Islands,Lake Melissa,2026-03-12
6,Shari,Campbell,victoriaramirez@example.net,Malawi,Harristown,2025-12-04
7,Francisco,Fowler,nichole49@example.net,Monaco,Port Donald,2026-01-08
8,Samantha,Vega,shawn28@example.org,Uganda,Elizabethside,2026-01-02
9,Tiffany,Jones,melissa16@example.net,New Caledonia,Kevinchester,2024-09-10
10,Sarah,Tran,umorales@example.org,French Polynesia,Bakerville,2026-01-02
11,Nicholas,King,nochoa@example.org,Suriname,Brownside,2025-08-04
12,Sarah,Walsh,james69@example.org,New Caledonia,Justinchester,2026-04-20
13,Angelica,Alvarez,william40@example.com,Mali,Delgadochester,2024-09-02
14,Edward,Henry,philipruiz@example.org,Saint Vincent and the Grenadines,New Timothymouth,2024-12-05
15,Sarah,Gross,hclark@example.net,Canada,Smithport,2025-03-19
16,Elizabeth,Sims,chapmancory@example.org,Nauru,Port Lisaville,2024-09-18
17,Robert,Smith,carol42@example.net,French Southern Territories,Joeborough,2024-07-20
18,Kelly,Baker,melissa38@example.org,Norfolk Island,Ginahaven,2025-10-06
19,Julie,Baker,johnbell@example.com,Saint Pierre and Miquelon,Saratown,2026-04-06
20,Stephanie,Patton,jlindsey@example.net,Indonesia,Lake Heidi,2025-12-27
21,Robert,Coleman,morrischristopher@example.net,Equatorial Guinea,Thomastown,2025-03-13
22,Omar,Stevens,henryhall@example.com,French Polynesia,Deleonview,2026-02-24
23,Keith,Bell,thompsonkelly@example.com,Syrian Arab Republic,Jonesfort,2026-04-19
24,Elizabeth,Melton,lisazuniga@example.com,Cape Verde,East Michele,2025-09-29
25,Todd,Jones,parsonsjuan@example.com,Bhutan,Lake Lisaland,2025-05-16
26,Alexandra,Adams,ginacollins@example.com,Sri Lanka,East Alexis,2025-10-12
27,Evan,Haley,bduarte@example.org,Central African Republic,Port Samantha,2025-11-19
